content,score,at,clean,processed,sentiment
"ngikutin pengadu atas nama Wendi, yang ga pernah ditanggapi. hati hati yaa buat yg instal khususnya buat yg dibandung, banyak voucher yang dibeli pun gak akan kalian bisa tuker hati hati. harus lapor ke perlindungan konsumen. nanti bangrut kaya my fave paling",1,2025-04-13 13:40:42,ngikutin pengadu atas nama wendi yang ga pernah ditanggapi hati hati yaa buat yg instal khususnya buat yg dibandung banyak voucher yang dibeli pun gak akan kalian bisa tuker hati hati harus lapor ke perlindungan konsumen nanti bangrut kaya my fave paling,ngikutin adu nama wendi tanggap hati hati yaa instal bandung voucher beli tuker hati hati lapor lindung konsumen bangrut kaya my fave,negative
"sampahhhh, ga pernah ditanggapi pengaduan, banyak voucher kagak kepake khususnya bandung kagak bisa dituker padahal udah dibeli, ketika buat pengaduan ga dijawab... hati hati banyak nipu nya. dan saya bakal suruh temen temen juga buat bintang 1 nih aku selama pengaduan saya kagak dijawab",1,2025-04-13 13:38:51,sampahhhh ga pernah ditanggapi pengaduan banyak voucher kagak kepake khususnya bandung kagak bisa dituker padahal udah dibeli ketika buat pengaduan ga dijawab hati hati banyak nipu nya dan saya bakal suruh temen temen juga buat bintang nih aku selama pengaduan saya kagak dijawab,sampahhhh tanggap adu voucher kagak kepake bandung kagak dituker beli adu hati hati nipu suruh temen temen bintang adu kagak,negative
kok akses masuk selalu di tolak kenapa? ngga bisa log in,1,2025-04-13 11:28:40,kok akses masuk selalu di tolak kenapa ngga bisa log in,akses masuk tolak ngga log in,negative
bagus promosi nya,5,2025-04-13 09:46:54,bagus promosi nya,bagus promosi,positive
bagus👍,5,2025-04-13 03:38:33,bagus,bagus,positive
"mantaaaaap,, jadi rajin jajan,,,",5,2025-04-12 15:14:48,mantaaaaap jadi rajin jajan,mantaaaaap rajin jajan,positive
pembohongan publik,1,2025-04-12 12:23:59,pembohongan publik,bohong publik,negative
"JANGAN DOWNLOAD, MAU UNTUNG MALAH BUNTUNG, VOUCHER YANG DAH DIBELI PADAHAL BELUM DIPAKE KARNA BEDA WILAYAH GA BISA DI REFUND, MENDING BELI LANGSUNG DI TEMPAT HARGANYA GAJAUH BEDA.",1,2025-04-12 10:29:55,jangan download mau untung malah buntung voucher yang dah dibeli padahal belum dipake karna beda wilayah ga bisa di refund mending beli langsung di tempat harganya gajauh beda,download untung buntung voucher beli dipake karna beda wilayah refund mending beli langsung harga gajauh beda,negative
"Alhamdulillah...setelah Beli Kupon Burger King yg 100rb seharga 40rb Lancar2 az & beli 2 Kupon Kimukatsu TDK ada masalah & lancar az, ntr klo ada Kupon Promo Harga Murmer mo beli LG. Oh iya Saran utk Perusahaan QPON nya klo bs Stok Kupon Alfamart, Indomaret & KFC diperbanyak jd Kami kebagian. terimakasih QPon 👳🙏😊👍",5,2025-04-12 10:02:25,alhamdulillah setelah beli kupon burger king yg rb seharga rb lancar az beli kupon kimukatsu tdk ada masalah lancar az ntr klo ada kupon promo harga murmer mo beli lg oh iya saran utk perusahaan qpon nya klo bs stok kupon alfamart indomaret kfc diperbanyak jd kami kebagian terimakasih qpon,alhamdulillah beli kupon burger king rb harga rb lancar az beli kupon kimukatsu tdk lancar az ntr kupon promo harga murmer mo beli lg oh iya saran utk usaha qpon bs stok kupon alfamart indomaret kfc banyak jd bagi terimakasih qpon,positive
"Aplikasi gak bermutu jangan sampe ada yang download aplikasi ini merugikan dan gak seperti yg di promosikan , jika ada salah pilih voucher gak bakal bisa di proses kembali atau di batalkan seperti aplikasi lain. sangat merugikan saya kecewa setelah instal langsung uninstal lagi biar gak makin rugi dengan iming-iming promosinya 😤😡👎👎👎👎👎",1,2025-04-12 06:41:30,aplikasi gak bermutu jangan sampe ada yang download aplikasi ini merugikan dan gak seperti yg di promosikan jika ada salah pilih voucher gak bakal bisa di proses kembali atau di batalkan seperti aplikasi lain sangat merugikan saya kecewa setelah instal langsung uninstal lagi biar gak makin rugi dengan iming iming promosinya,aplikasi mutu sampe download aplikasi rugi promosi salah pilih voucher proses batal aplikasi rugi kecewa instal langsung uninstal biar rugi iming iming promosi,negative
"udah beli vocer, eh sampe di.lokasi ktnya sudah ga kerja sama lg dengan qpon... saya minta pengembalian di chat bantuan ga ada respon, ini aplikasi mau nipu apa mau maling??? klo memang sudah tidak kerja sama tolong di blok atau di hilangkan saja merchant tsb dari.aplikasi jangan menjebak pengguna aplikasi",1,2025-04-12 03:48:10,udah beli vocer eh sampe di lokasi ktnya sudah ga kerja sama lg dengan qpon saya minta pengembalian di chat bantuan ga ada respon ini aplikasi mau nipu apa mau maling klo memang sudah tidak kerja sama tolong di blok atau di hilangkan saja merchant tsb dari aplikasi jangan menjebak pengguna aplikasi,beli vocer eh sampe lokasi ktnya kerja lg qpon kembali chat bantu respon aplikasi nipu maling kerja tolong blok hilang merchant tsb aplikasi jebak guna aplikasi,negative
"cacat setiap masuk tulisannya 'tidak ada koneksi internet' pdhl kuota full, udh pake WiFi juga tetep ngk bisa",2,2025-04-11 10:43:37,cacat setiap masuk tulisannya tidak ada koneksi internet pdhl kuota full udh pake wifi juga tetep ngk bisa,cacat masuk tulis koneksi internet pdhl kuota full pake wifi tetep ngk,negative
jadi ngeri mau beli kupon nya pas lihat postingan tentang aplikasi ini kaga jadi beli ah mending hapus aja lah,1,2025-04-11 07:01:09,jadi ngeri mau beli kupon nya pas lihat postingan tentang aplikasi ini kaga jadi beli ah mending hapus aja lah,ngeri beli kupon pas lihat postingan aplikasi kaga beli ah mending hapus,negative
"aplikasi ga jelas, vocer gokana belum dipakai ada tulisan sampai bulan mei, tiba2 selesai padahal belum redeem.. parah...",1,2025-04-11 04:37:36,aplikasi ga jelas vocer gokana belum dipakai ada tulisan sampai bulan mei tiba selesai padahal belum redeem parah,aplikasi vocer gokana pakai tulis mei selesai redeem parah,negative
"makin diupdate makin gk ada promony, smuanya kosong, aplikasi sampah.",1,2025-04-11 01:31:49,makin diupdate makin gk ada promony smuanya kosong aplikasi sampah,diupdate promony smuanya kosong aplikasi sampah,negative
smg lebih banyak vendor kuliner yg kerjasama dg qpon. Hotways blm ada,5,2025-04-10 14:17:32,smg lebih banyak vendor kuliner yg kerjasama dg qpon hotways blm ada,smg vendor kuliner kerjasama dg qpon hotways blm,positive
jos memberi kemudahan,4,2025-04-10 07:11:01,jos memberi kemudahan,jos mudah,positive
"Bau, apk bau",1,2025-04-10 06:15:14,bau apk bau,bau apk bau,negative
amazz,5,2025-04-10 04:36:45,amazz,amazz,positive
Bagus banget,5,2025-04-09 17:57:20,bagus banget,bagus,positive
"aneh, aplikasi gak guna, gak ada kupon yg bisa dibeli, ngapain coba.",1,2025-04-09 13:39:39,aneh aplikasi gak guna gak ada kupon yg bisa dibeli ngapain coba,aneh aplikasi kupon beli ngapain coba,negative
perbanyak promo dan diskonnya,5,2025-04-09 08:16:42,perbanyak promo dan diskonnya,banyak promo diskon,positive
terbaik,5,2025-04-09 07:13:21,terbaik,baik,positive
wewa 🙂,4,2025-04-09 06:39:53,wewa,wewa,positive
Qpon.,4,2025-04-09 01:00:10,qpon,qpon,positive
"Love this app so much, thanks karna uda kasi banya promooo🤍🤍✨ buat kalian jangan ragu buat download, dan buat kalian yg cuma mau enaknya, namanya juga aplikasi gaada yg sempurna, semua butuh proses pengembangan buat jadi aplikasi yg lebih baik lagi, bukannya malah kasih bintang 1, padahal qpon uda kasi banyak promo dan mungkin dirugikan.",5,2025-04-08 22:49:13,love this app so much thanks karna uda kasi banya promooo buat kalian jangan ragu buat download dan buat kalian yg cuma mau enaknya namanya juga aplikasi gaada yg sempurna semua butuh proses pengembangan buat jadi aplikasi yg lebih baik lagi bukannya malah kasih bintang padahal qpon uda kasi banyak promo dan mungkin dirugikan,love this app so much thanks karna uda kasi banya promooo ragu download enak nama aplikasi gaada sempurna butuh proses kembang aplikasi kasih bintang qpon uda kasi promo rugi,positive
udah viral jadi mahal harganya wkwk,1,2025-04-08 09:31:11,udah viral jadi mahal harganya wkwk,viral mahal harga wkwk,negative
trimakasih,5,2025-04-08 09:20:10,trimakasih,trimakasih,positive
ini yg owner resto ga ada yg protes dana resto belum di bayarkan,1,2025-04-08 08:05:17,ini yg owner resto ga ada yg protes dana resto belum di bayarkan,owner resto protes dana resto bayar,negative
"aplikasi aneh, voucher mau kadaluarsa bukan nya di ingetin via wa malah ga ada pengingat ga semua orang sibuk bulak balik aplikasi kan, tiba tiba kadaluarsa mana ga ada refund dana, padahal saya beli loh bukan gratisan, beda banget sama aplikasi grab dine out kalo beli voucher belum kepake tpi kadaluarsa ada pengembalian dana. Rugi buang buang duit!",1,2025-04-08 08:04:10,aplikasi aneh voucher mau kadaluarsa bukan nya di ingetin via wa malah ga ada pengingat ga semua orang sibuk bulak balik aplikasi kan tiba tiba kadaluarsa mana ga ada refund dana padahal saya beli loh bukan gratisan beda banget sama aplikasi grab dine out kalo beli voucher belum kepake tpi kadaluarsa ada pengembalian dana rugi buang buang duit,aplikasi aneh voucher kadaluarsa ingetin via wa ingat orang sibuk bulak aplikasi kadaluarsa refund dana beli loh gratis beda aplikasi grab dine out beli voucher kepake kadaluarsa kembali dana rugi buang buang duit,negative
aplikasi ngga jelas.sudah payment tapi ngga dapet vouchernya.saya komplain lama balesnya.suru nunggu lama banget sampe 7 hari.yg seharusnya pengembalian saldo 105.000 malah hanya dikembalikan 10.500.saya wa sudah tidak dijawab.padahal komplennya hanya lewat wa.jadi hilang saldoku,1,2025-04-08 06:20:39,aplikasi ngga jelas sudah payment tapi ngga dapet vouchernya saya komplain lama balesnya suru nunggu lama banget sampe hari yg seharusnya pengembalian saldo malah hanya dikembalikan saya wa sudah tidak dijawab padahal komplennya hanya lewat wa jadi hilang saldoku,aplikasi ngga payment ngga dapet vouchernya komplain balesnya suru nunggu sampe kembali saldo kembali wa komplennya wa hilang saldo,negative
"jelek banget, voucher udah bayar tapi outlet lagi ga tersedia produknya, kiranya nunggu 2x24jam kupon bakal bisa di refund tapi ternyata engga ! aneh ya padahl apk ini lagi populer tapi malah punya sistem yg buruk sekali. ternyata ga ada sama sekali pilihan atau bagian refund dana ! kalo gini selama outlet tidak tersedia produk namun kita sudah bayar, kitabakal menanggung rugi ! nyesel udah download apk ini, kemakan iklan tapi sistem jelek",1,2025-04-08 02:03:29,jelek banget voucher udah bayar tapi outlet lagi ga tersedia produknya kiranya nunggu x jam kupon bakal bisa di refund tapi ternyata engga aneh ya padahl apk ini lagi populer tapi malah punya sistem yg buruk sekali ternyata ga ada sama sekali pilihan atau bagian refund dana kalo gini selama outlet tidak tersedia produk namun kita sudah bayar kitabakal menanggung rugi nyesel udah download apk ini kemakan iklan tapi sistem jelek,jelek voucher bayar outlet sedia produk nunggu jam kupon refund engga aneh ya padahl apk populer sistem buruk pilih refund dana gin outlet sedia produk bayar kitabakal tanggung rugi nyesel download apk makan iklan sistem jelek,negative
"Aplikasi gak jelas disuruh ngundang teman tapi akun di kasih limit kalau beli, voucher habis semua, udah bangkrut kah? Percuma ngundang teman juga gak guna!!! Chat cs gak pernah diladeni gak ada karyawan juga kah?",1,2025-04-07 17:08:50,aplikasi gak jelas disuruh ngundang teman tapi akun di kasih limit kalau beli voucher habis semua udah bangkrut kah percuma ngundang teman juga gak guna chat cs gak pernah diladeni gak ada karyawan juga kah,aplikasi suruh ngundang teman akun kasih limit beli voucher habis bangkrut kah ngundang teman chat cs laden karyawan kah,negative
aplikasi tidak berfungsi seperti yang diiklankan,1,2025-04-07 10:44:23,aplikasi tidak berfungsi seperti yang diiklankan,aplikasi fungsi iklan,negative
"kenapa selalu tidak ada internet setiap buka aplikasi memakai data, kalau pakai wifi bisa , padahal data banyak dan aplikasi lain bisa di buka",1,2025-04-07 03:38:31,kenapa selalu tidak ada internet setiap buka aplikasi memakai data kalau pakai wifi bisa padahal data banyak dan aplikasi lain bisa di buka,internet buka aplikasi pakai data pakai wifi data aplikasi buka,negative
"VOUCHER ENGGAK KELUAR, PAYAH",1,2025-04-06 19:20:02,voucher enggak keluar payah,voucher payah,negative
aplikasi nipu sudah ditransfer malah pembayaran ditutup cs nya gak jawab jg,1,2025-04-06 05:08:10,aplikasi nipu sudah ditransfer malah pembayaran ditutup cs nya gak jawab jg,aplikasi nipu transfer bayar tutup cs jg,negative
liburan. di balii,4,2025-04-05 21:24:22,liburan di balii,libur balii,positive
"Lokasi saya di Kalimantan, eh flash sale nya malah di pulau Jawa. Beda pulau",1,2025-04-05 17:13:18,lokasi saya di kalimantan eh flash sale nya malah di pulau jawa beda pulau,lokasi kalimantan eh flash sale pulau jawa beda pulau,negative
"APK PENIPUAN. JANGAN TERGODA SAMA IKLAN, HARI INI KE KENANGAN NGE KLAIM VOUCHER PAS DI KASIR GA BISA GAADA SI PROMO NYA. DI APK NGERJAIN BANGETT KESELL!!!!!!",1,2025-04-05 14:50:23,apk penipuan jangan tergoda sama iklan hari ini ke kenangan nge klaim voucher pas di kasir ga bisa gaada si promo nya di apk ngerjain bangett kesell,apk tipu goda iklan kenang nge klaim voucher pas kasir gaada si promo apk ngerjain bangett kesell,negative
"bisa makan makanan yg enak sekeluarga berkat aplikasi ini, makasih",5,2025-04-05 06:06:33,bisa makan makanan yg enak sekeluarga berkat aplikasi ini makasih,makan makan enak keluarga berkat aplikasi makasih,positive
"aku udah bayr tapi kuponnya g muncul ,keterangannya pesanan ditutup,padahal Qriznya sukses,aku udah komplian by wa belum direspon",2,2025-04-05 04:20:10,aku udah bayr tapi kuponnya g muncul keterangannya pesanan ditutup padahal qriznya sukses aku udah komplian by wa belum direspon,bayr kupon muncul terang pesan tutup qriznya sukses komplian by wa direspon,negative
"ini kenapa applikasi nya sebelum di logout aman²aja, knp mau login lgi gk dpt otp²nya",1,2025-04-05 02:02:08,ini kenapa applikasi nya sebelum di logout aman aja knp mau login lgi gk dpt otp nya,applikasi logout aman knp login lgi dpt otp,negative
"Pertama kali download Qpon karena event di Summarecon Bekasi di November 2024, ehh keterusan sampe sekarang. Ternyata ada ya aplikasi paling diskon hemat🥰",5,2025-04-04 18:47:18,pertama kali download qpon karena event di summarecon bekasi di november ehh keterusan sampe sekarang ternyata ada ya aplikasi paling diskon hemat,kali download qpon event summarecon bekas november ehh terus sampe ya aplikasi diskon hemat,positive
Aplikasi gak profesional,1,2025-04-04 15:19:35,aplikasi gak profesional,aplikasi profesional,negative
"1. ""Baru pakai Qpon langsung dapet voucher! Gampang, seru, dan beneran bagi-bagi tiap hari!"" 2. ""Voucher gratis tiap hari? Cuma di Qpon! Tinggal klaim, duduk manis, hadiah datang!"" 3. ""Qpon tuh rajanya voucher gratis! Buka aplikasi, langsung dapet diskon dan kejutan!"" 4. ""Udah coba Qpon belum? Aku udah, dan langsung dapet voucher, tanpa ribet!"" 5. ""Suka belanja hemat? Qpon jawabannya! Aplikasi paling seru buat dapet voucher gratis!""",5,2025-04-04 14:55:54,baru pakai qpon langsung dapet voucher gampang seru dan beneran bagi bagi tiap hari voucher gratis tiap hari cuma di qpon tinggal klaim duduk manis hadiah datang qpon tuh rajanya voucher gratis buka aplikasi langsung dapet diskon dan kejutan udah coba qpon belum aku udah dan langsung dapet voucher tanpa ribet suka belanja hemat qpon jawabannya aplikasi paling seru buat dapet voucher gratis,pakai qpon langsung dapet voucher gampang seru beneran voucher gratis qpon tinggal klaim duduk manis hadiah qpon raja voucher gratis buka aplikasi langsung dapet diskon kejut coba qpon langsung dapet voucher ribet suka belanja hemat qpon jawab aplikasi seru dapet voucher gratis,positive
"Bagi yang mau download, saran ane jangan deh. Gini kronologi nya. Saya instal ini karena tertarik dari temen yang dapat vocher. Singkat nya setelah saya bayar, ko tiba tiba ga bisa di gunakan dan mungkin ane berpikir ini error. Setelah saya log out dan akan login kembali tiba-tiba ga bisa. Di tolak sama sistem. Uang sudah masuk 100k buat jajan Pizza. Gendok sampai sekarang. Mendingan jangan deh, serius.",1,2025-04-04 14:35:26,bagi yang mau download saran ane jangan deh gini kronologi nya saya instal ini karena tertarik dari temen yang dapat vocher singkat nya setelah saya bayar ko tiba tiba ga bisa di gunakan dan mungkin ane berpikir ini error setelah saya log out dan akan login kembali tiba tiba ga bisa di tolak sama sistem uang sudah masuk k buat jajan pizza gendok sampai sekarang mendingan jangan deh serius,download saran ane deh gin kronologi instal tarik temen vocher singkat bayar ko ane pikir error log out login tolak sistem uang masuk jajan pizza gendok mending deh serius,negative
"apaan aplikasi gak jelas, belum pernah daftar dan nomor nya baru malah ada tulisan nomor sudah melebihi batas, kan aneh banget padahal belum pernah pakai nomor nya sama sekali",1,2025-04-04 11:01:05,apaan aplikasi gak jelas belum pernah daftar dan nomor nya baru malah ada tulisan nomor sudah melebihi batas kan aneh banget padahal belum pernah pakai nomor nya sama sekali,aplikasi daftar nomor tulis nomor lebih batas aneh pakai nomor,negative
okey banget,5,2025-04-04 10:26:56,okey banget,okey,positive
"bismillah,dapet voucher. jadi qpon ini menurut saya lumayan buat jajan sehari hari, terimakasih qpon🙏🏻",5,2025-04-04 09:35:18,bismillah dapet voucher jadi qpon ini menurut saya lumayan buat jajan sehari hari terimakasih qpon,bismillah dapet voucher qpon lumayan jajan hari terimakasih qpon,positive
"Burung camar terbang melayang, Mencari ikan di laut lepas. Qpon membantu belanja hemat sayang, Fitur canggih, tak perlu was-was 😍👼",5,2025-04-04 08:30:21,burung camar terbang melayang mencari ikan di laut lepas qpon membantu belanja hemat sayang fitur canggih tak perlu was was,burung camar terbang layang cari ikan laut lepas qpon bantu belanja hemat sayang fitur canggih was was,positive
"Qpon selalu kasih promo yg mantab mantab, jadi sering nih jajan hemat pakai qpon. Terima kasih qpon semoga ada diskon 90% kayak dulu lagi makasih Qpon",5,2025-04-04 07:20:02,qpon selalu kasih promo yg mantab mantab jadi sering nih jajan hemat pakai qpon terima kasih qpon semoga ada diskon kayak dulu lagi makasih qpon,qpon kasih promo mantab mantab jajan hemat pakai qpon terima kasih qpon moga diskon kayak makasih qpon,positive
aplikasi buruk.. saya sudah banyak ajak teman.. tapi nomer saya mlhn di blaclist .. bonus tidak bisa di gunakan.. kecewa....,1,2025-04-04 06:56:49,aplikasi buruk saya sudah banyak ajak teman tapi nomer saya mlhn di blaclist bonus tidak bisa di gunakan kecewa,aplikasi buruk ajak teman nomer mlhn blaclist bonus kecewa,negative
"Seneng banget dengan adanya aplikasi QPON,sangat terbantu untuk uptudate dengan harga2 diskon,jd untuk makan di luar lebih menyenangakan dan sangat tidak menguras kantong.thq semoga sukses selalu",5,2025-04-04 06:45:48,seneng banget dengan adanya aplikasi qpon sangat terbantu untuk uptudate dengan harga diskon jd untuk makan di luar lebih menyenangakan dan sangat tidak menguras kantong thq semoga sukses selalu,neng aplikasi qpon bantu uptudate harga diskon jd makan menyenangakan uras kantong thq moga sukses,positive
mudah gak ribet dan banyak keuntungan yang didapat..kalo mau ke mall tinggal pake apk qpon discountnya lumayan loh..semoga makin jaya Qpon🥰🥳,5,2025-04-04 06:32:32,mudah gak ribet dan banyak keuntungan yang didapat kalo mau ke mall tinggal pake apk qpon discountnya lumayan loh semoga makin jaya qpon,mudah ribet untung mall tinggal pake apk qpon discountnya lumayan loh moga jaya qpon,positive
"Qpon bener-bener jadi penyelamat dompet! Sejak pakai aplikasi ini, belanja jadi lebih hemat karena banyak diskon dan promo menarik. Bisa dapetin makanan dan barang favorit dengan harga yang jauh lebih murah. Walaupun jadi lebih sering jajan, tapi tetap merasa hemat. Aplikasi yang wajib banget dimiliki untuk kamu yang suka berburu diskon! 😊",5,2025-04-04 06:03:51,qpon bener bener jadi penyelamat dompet sejak pakai aplikasi ini belanja jadi lebih hemat karena banyak diskon dan promo menarik bisa dapetin makanan dan barang favorit dengan harga yang jauh lebih murah walaupun jadi lebih sering jajan tapi tetap merasa hemat aplikasi yang wajib banget dimiliki untuk kamu yang suka berburu diskon,qpon bener bener selamat dompet pakai aplikasi belanja hemat diskon promo tarik dapetin makan barang favorit harga murah jajan hemat aplikasi wajib milik suka buru diskon,positive
"aplikasi the best banyak potongan harga, mana di waktu tanggal tua jadi penyelamat. tapi di bandung belum tersebar pembayaran pake Qupon semoga lebih baik lagi",5,2025-04-04 05:24:15,aplikasi the best banyak potongan harga mana di waktu tanggal tua jadi penyelamat tapi di bandung belum tersebar pembayaran pake qupon semoga lebih baik lagi,aplikasi the best potong harga tanggal tua selamat bandung sebar bayar pake qupon moga,positive
Nie aplikasi bener bener juaraaa boss.. diskonnya itu lho gak kaleng kaleng.. gak nyesel deh download ini.. bejibun untungnya guedee manfaatnya.. ✅💰💰♥️♥️,5,2025-04-04 05:20:20,nie aplikasi bener bener juaraaa boss diskonnya itu lho gak kaleng kaleng gak nyesel deh download ini bejibun untungnya guedee manfaatnya,nie aplikasi bener bener juaraaa boss diskon lho kaleng kaleng nyesel deh download bejibun untung guedee manfaat,positive
aplikasi nya mudah di akses udah gitu bikin makin hemat karena diskon terus,5,2025-04-04 05:09:54,aplikasi nya mudah di akses udah gitu bikin makin hemat karena diskon terus,aplikasi mudah akses gitu bikin hemat diskon,positive
"bisa ngajak jajan mama dengan hemat lewat aplikasi qpon penukarannya juga mudah,karna qpon aku bisa ngajak mama jajan dan makan hemat 🤭 terimakasih qpon semoga promonya makin banyak biar aku sering ajak mama ku jajan hemat",5,2025-04-04 05:05:44,bisa ngajak jajan mama dengan hemat lewat aplikasi qpon penukarannya juga mudah karna qpon aku bisa ngajak mama jajan dan makan hemat terimakasih qpon semoga promonya makin banyak biar aku sering ajak mama ku jajan hemat,ngajak jajan mama hemat aplikasi qpon tukar mudah karna qpon ngajak mama jajan makan hemat terimakasih qpon moga promonya biar ajak mama ku jajan hemat,positive
aplikasi luar biasa dari aplikasi online food yg lain. promonya mantap tidak mengecewakan,5,2025-04-04 05:04:33,aplikasi luar biasa dari aplikasi online food yg lain promonya mantap tidak mengecewakan,aplikasi aplikasi online food promonya mantap kecewa,positive
"sebagai pengguna qpon aku merasa sangat terbantu , karna bisa dapetin harga yang jauh lebih murah dan banyak promonya",5,2025-04-04 05:00:58,sebagai pengguna qpon aku merasa sangat terbantu karna bisa dapetin harga yang jauh lebih murah dan banyak promonya,guna qpon bantu karna dapetin harga murah promonya,positive
"aplikasi sangat membantuu, kerenn bangett disini dapet diskon diskonn yang besar dan menguntungkan, pokonya haruss download aplikasi qpon iniii yaa guysss mantapppp yuhuuu 🫶🏻✨️",5,2025-04-04 04:58:21,aplikasi sangat membantuu kerenn bangett disini dapet diskon diskonn yang besar dan menguntungkan pokonya haruss download aplikasi qpon iniii yaa guysss mantapppp yuhuuu,aplikasi membantuu kerenn bangett dapet diskon diskonn untung poko haruss download aplikasi qpon iniii yaa guysss mantapppp yuhuuu,positive
"apapaun jajannya di qpon in aja, pokoknga langganan QPON jajan makin hemat bisa sampau 50%, ini beneran bukan hoax dan gampang gunakannya, tinggal bawa aja qpon ke merchain",5,2025-04-04 04:55:40,apapaun jajannya di qpon in aja pokoknga langganan qpon jajan makin hemat bisa sampau ini beneran bukan hoax dan gampang gunakannya tinggal bawa aja qpon ke merchain,apapaun jajan qpon in pokoknga langgan qpon jajan hemat sampau beneran hoax gampang guna tinggal bawa qpon merchain,positive
Terimakasih Qpon Sudah Memberi Voucher Berbagai Makanan Mewah 😇 Sukses Selalu,5,2025-04-04 04:52:12,terimakasih qpon sudah memberi voucher berbagai makanan mewah sukses selalu,terimakasih qpon voucher makan mewah sukses,positive
"Aplikasi yang sangat membantu untuk keperluan perut dan sehari hari, Banyak diskon yang disediakan dan promo menarik lainnya . Ditambah lagi dengan UI aplikasi yang menarik dan fresh",5,2025-04-04 04:46:35,aplikasi yang sangat membantu untuk keperluan perut dan sehari hari banyak diskon yang disediakan dan promo menarik lainnya ditambah lagi dengan ui aplikasi yang menarik dan fresh,aplikasi bantu perlu perut hari diskon sedia promo tarik tambah ui aplikasi tarik fresh,positive
"dengan adanya aplikasi qpon aku ngerasa terbantu sekali, mau jajan hemat lewat qpon aja, selain hemat mudah juga di gunakan nya🫢",5,2025-04-04 04:45:05,dengan adanya aplikasi qpon aku ngerasa terbantu sekali mau jajan hemat lewat qpon aja selain hemat mudah juga di gunakan nya,aplikasi qpon ngerasa bantu jajan hemat qpon hemat mudah,positive
"aplikasi kocak sih, pesan PHD begitu mau bayar hasil scannya malah Bakmi GM wkwkwkkk, parahnya sudah 1 minggu ngulang tetap sama.",1,2025-04-03 23:47:01,aplikasi kocak sih pesan phd begitu mau bayar hasil scannya malah bakmi gm wkwkwkkk parahnya sudah minggu ngulang tetap sama,aplikasi kocak pesan phd bayar hasil scannya bakmi gm wkwkwkkk parah minggu ngulang,negative
minuman di tianlala lbh murah harga itemnya drpd harga di rincian vocernya,2,2025-04-03 10:14:14,minuman di tianlala lbh murah harga itemnya drpd harga di rincian vocernya,minum tianlala lbh murah harga item drpd harga rincian vocernya,negative
baguss,1,2025-04-03 09:45:31,baguss,baguss,negative
ini bisa cod ga,1,2025-04-03 09:42:07,ini bisa cod ga,cod,negative
aplikasi yang mantap,5,2025-04-03 04:00:09,aplikasi yang mantap,aplikasi mantap,positive
bagus banget,5,2025-04-02 15:04:58,bagus banget,bagus,positive
"saya sangat suka aplikasi ini karena memberikan diskon murah, makanan dan minuman yg sudah diminati masyarakat",5,2025-04-02 14:13:30,saya sangat suka aplikasi ini karena memberikan diskon murah makanan dan minuman yg sudah diminati masyarakat,suka aplikasi diskon murah makan minum mati masyarakat,positive
"Happy banget ada aplikasi yang nyediain banyak promo makanan dengan Harga up to 50% lebih murah dari harga aslinya, ini sih sangat berguna sekali buat aku si pecinta jajan, dan bolak balik ke Mall cuma buat jajan. pertahankan terus Qpon untuk promo promo nya, banyakin merchant dan promo nya ya. sukses selalu Qpon 😍",5,2025-04-02 13:45:42,happy banget ada aplikasi yang nyediain banyak promo makanan dengan harga up to lebih murah dari harga aslinya ini sih sangat berguna sekali buat aku si pecinta jajan dan bolak balik ke mall cuma buat jajan pertahankan terus qpon untuk promo promo nya banyakin merchant dan promo nya ya sukses selalu qpon,happy aplikasi nyediain promo makan harga up to murah harga asli guna si cinta jajan bolak mall jajan tahan qpon promo promo banyakin merchant promo ya sukses qpon,positive
cs milih2 customer buat nyelesain masalah!,1,2025-04-02 13:35:22,cs milih customer buat nyelesain masalah,cs milih customer nyelesain,negative
toko nya terbatas semoa,1,2025-04-02 10:06:01,toko nya terbatas semoa,toko batas moa,negative
belum pernah rasain sensasi diskon dari qpon. ini saya kasih bintang 5 yah. perbaikan lagi yah jangan error terus setiap saya klik promo apa aja,5,2025-04-02 09:38:20,belum pernah rasain sensasi diskon dari qpon ini saya kasih bintang yah perbaikan lagi yah jangan error terus setiap saya klik promo apa aja,rasain sensasi diskon qpon kasih bintang yah baik yah error klik promo,positive
qpon is the best,5,2025-04-02 09:28:28,qpon is the best,qpon is the best,positive
syg nya klo mau pesan makanan di sini tidak bisa cod coba aja bsa cod mantap deh,2,2025-04-02 09:23:42,syg nya klo mau pesan makanan di sini tidak bisa cod coba aja bsa cod mantap deh,syg pesan makan cod coba bsa cod mantap deh,negative
aplikasi yang sangat bermanfaat bagi pemburu promo tampilan yang bagus akses cepat dan selalu update promo terbaik deh qpon semoga jaya selalu dijadikan favorit,5,2025-04-02 08:56:32,aplikasi yang sangat bermanfaat bagi pemburu promo tampilan yang bagus akses cepat dan selalu update promo terbaik deh qpon semoga jaya selalu dijadikan favorit,aplikasi manfaat buru promo tampil bagus akses cepat update promo baik deh qpon moga jaya jadi favorit,positive
